primary_track,program_duration_days,placed,employment_status,highest_level_of_education,length_of_job_search,biggest_challenge_in_search,professional_experience,work_authorization_status,number_of_interviews,number_of_applications,gender,race,cohort_tag_month,cohort_tag_fortnight
4,1.0,0,5,4,0,6,1,1,0.0,4,0,2,1,1
4,14.0,0,5,0,3,2,1,2,3.0,40,1,2,1,2
4,0.0,0,4,0,3,3,0,4,3.0,50,1,2,1,1
3,12.0,0,5,5,3,5,1,2,0.0,9,2,3,4,1
1,0.0,0,2,4,3,1,4,2,0.0,3,1,2,11,1
3,0.0,0,1,0,1,5,0,2,3.0,10,1,8,11,1
3,8.0,0,4,0,3,8,3,6,5.0,25,2,2,1,1
4,0.0,0,4,0,4,5,0,2,1.0,20,2,6,11,0
3,0.0,0,5,1,0,2,4,2,3.0,50,1,6,9,1
4,31.0,0,1,0,0,5,0,5,0.0,25,1,2,1,2
3,0.0,0,5,7,3,3,0,4,4.0,40,2,2,1,2
3,0.0,0,0,4,3,9,3,2,1.0,6,2,0,1,2
3,0.0,0,5,4,3,5,0,1,0.0,15,2,6,11,0
3,0.0,0,4,0,3,5,3,3,0.0,50,2,2,1,2
4,0.0,0,5,0,3,5,0,4,0.0,7,2,2,1,2
4,14.0,0,1,5,3,5,4,2,0.0,4,1,1,1,2
4,24.0,1,4,5,0,8,3,4,1.0,130,2,4,1,2
4,38.0,1,5,5,4,5,3,2,5.0,100,2,2,1,2
1,38.0,1,5,0,3,5,2,2,0.0,30,2,6,11,1
4,107.0,1,4,0,3,6,0,2,3.0,35,2,7,1,0
4,14.0,0,3,1,3,4,1,10,1.0,160,2,6,1,0
3,19.0,0,2,0,0,1,4,2,3.0,10,2,2,1,1
3,0.0,0,5,4,3,5,1,10,2.0,90,1,2,1,1
3,2.0,0,0,4,1,6,1,2,2.0,50,2,8,1,1
3,0.0,0,4,0,1,0,3,2,0.0,0,1,0,2,0
4,97.0,1,2,4,4,3,3,4,4.0,40,0,2,1,1
4,111.0,1,4,4,2,1,1,2,0.0,6,2,7,1,1
1,0.0,0,5,5,0,5,1,4,0.0,60,2,6,1,1
4,9.0,0,5,0,3,1,1,2,0.0,0,2,2,1,2
3,69.0,1,2,4,1,5,1,2,5.0,20,0,7,1,2
4,0.0,0,4,0,1,3,2,2,1.0,8,1,2,4,0
3,0.0,0,1,0,1,2,2,2,7.0,7,1,2,4,0
4,0.0,0,4,4,2,5,1,4,1.0,8,1,7,3,0
3,0.0,0,1,0,3,1,1,2,0.0,0,1,6,1,2
1,60.0,0,4,4,0,2,1,4,3.0,60,1,2,2,0
4,0.0,0,5,0,3,4,0,2,0.0,3,2,6,7,0
4,8.0,0,5,4,2,5,1,4,4.0,9,2,7,4,1
4,11.0,0,5,0,0,6,0,2,0.0,25,2,2,9,0
4,13.0,0,1,5,3,6,3,4,10.0,30,2,2,1,0
4,0.0,0,5,4,1,9,0,4,1.0,1,1,2,1,0
4,114.0,1,5,0,0,5,0,5,4.0,50,2,3,1,0
4,45.0,1,4,0,0,4,3,8,1.0,50,2,2,11,1
4,20.0,1,1,0,0,3,2,2,0.0,8,2,8,11,1
4,13.0,0,4,0,3,4,4,3,3.0,30,1,2,11,1
4,0.0,0,5,4,4,2,0,2,5.0,30,2,0,11,1
1,0.0,0,5,5,3,5,0,2,0.0,15,2,6,1,1
1,122.0,1,5,0,4,2,4,2,8.0,150,1,0,11,1
0,13.0,0,1,4,3,2,1,4,0.0,0,2,2,11,0
4,16.0,1,5,0,1,6,2,2,7.0,90,2,2,11,1
4,32.0,1,4,0,0,3,0,4,3.0,150,2,2,11,1
4,0.0,1,1,0,3,2,0,5,1.0,8,2,7,9,0
0,9.0,0,4,0,3,1,1,8,0.0,30,1,3,4,1
4,72.0,0,1,4,1,5,2,2,1.0,10,0,2,0,1
0,254.0,0,1,4,2,4,2,2,2.0,8,2,2,10,1
4,184.0,0,5,4,1,5,0,4,0.0,70,2,7,4,0
3,39.0,1,5,0,3,1,3,10,2.0,25,2,6,11,1
4,268.0,0,5,0,2,8,3,2,4.0,15,0,2,10,0
0,107.0,1,2,4,0,3,3,2,1.0,25,2,7,10,0
1,219.0,0,4,7,3,8,2,6,1.0,160,2,2,2,0
4,65.0,1,5,3,3,5,0,10,0.0,20,2,7,1,0
4,9.0,0,4,4,3,5,0,2,1.0,4,1,3,6,1
4,268.0,0,1,0,1,7,0,2,0.0,8,0,7,10,0
4,0.0,0,2,1,0,5,0,4,0.0,25,2,6,1,2
3,219.0,0,5,0,1,6,3,2,0.0,25,1,7,2,0
3,296.0,0,4,0,3,5,0,2,5.0,60,1,2,11,1
4,170.0,0,3,0,3,2,0,3,4.0,25,2,2,4,1
4,82.0,1,5,0,1,2,1,2,6.0,40,2,7,2,0
4,203.0,1,0,0,0,6,0,2,1.0,170,2,6,8,0
4,54.0,1,0,5,0,5,1,2,2.0,80,2,8,8,0
4,196.0,1,4,0,3,5,1,2,0.0,5,2,7,11,2
4,210.0,1,4,7,1,8,0,2,0.0,25,2,7,0,0
4,74.0,1,2,0,1,7,3,4,1.0,7,2,2,4,0
4,142.0,1,5,4,0,5,0,2,4.0,20,2,2,8,0
4,489.0,0,4,0,1,2,3,10,3.0,15,2,6,8,0
4,0.0,0,2,0,2,5,4,0,0.0,3,1,4,6,0
4,9.0,0,4,4,0,5,3,2,5.0,25,2,7,5,0
4,118.0,1,1,0,3,5,2,2,1.0,3,1,2,4,0
4,73.0,1,5,0,0,5,0,2,0.0,50,2,2,7,0
4,11.0,1,4,0,2,2,3,2,5.0,20,2,7,10,0
0,202.0,1,0,0,1,5,1,0,0.0,7,1,2,10,0
4,192.0,1,4,4,1,8,1,5,2.0,4,2,6,10,0
4,163.0,1,2,4,0,4,1,2,2.0,70,2,6,9,0
4,173.0,1,4,4,3,5,1,5,1.0,2,1,6,2,0
4,20.0,1,5,0,0,4,3,2,0.0,60,2,2,2,0
4,115.0,1,0,0,0,8,1,2,3.0,2,2,2,4,0
4,106.0,1,3,2,3,5,3,10,5.0,10,1,6,3,0
4,73.0,1,2,1,3,5,2,2,0.0,5,2,7,3,0
4,332.0,1,5,4,1,8,0,4,1.0,60,2,7,7,0
4,543.0,1,1,4,0,6,3,2,0.0,40,2,2,7,0
4,120.0,1,3,4,3,8,1,4,3.0,110,2,3,7,0
4,275.0,1,3,1,0,4,0,2,0.0,15,1,6,7,0
4,277.0,1,0,0,0,5,0,8,4.0,15,2,2,7,0
4,410.0,0,2,0,1,5,3,1,2.0,70,2,2,0,1
4,359.0,0,4,4,1,1,4,10,7.0,50,0,7,0,1
4,109.0,1,5,4,3,5,1,5,3.0,60,2,7,0,1
4,515.0,0,4,4,1,5,4,2,2.0,20,0,8,0,1
4,52.0,1,0,5,2,4,0,2,0.0,20,2,7,0,1
4,47.0,1,4,4,0,2,2,10,1.0,10,2,7,0,1
4,128.0,1,4,0,0,5,3,2,4.0,25,2,0,8,0
4,286.0,1,5,1,3,3,4,10,0.0,25,2,3,8,0
4,320.0,1,5,4,1,3,0,2,1.0,3,2,4,11,1
4,290.0,1,1,0,3,3,1,2,11.0,20,2,7,11,1
4,310.0,1,5,7,0,8,1,4,1.0,25,2,7,11,1
4,247.0,1,3,0,3,5,1,10,0.0,15,2,7,11,2
4,292.0,1,1,0,0,5,3,5,2.0,150,2,7,10,0
0,331.0,1,4,0,3,6,3,2,1.0,25,2,7,10,0
4,199.0,0,4,0,1,5,1,2,0.0,35,2,2,10,1
4,114.0,1,5,4,1,5,2,2,0.0,50,2,2,1,2
4,303.0,1,0,0,1,1,0,2,2.0,30,2,3,3,0
4,198.0,1,3,4,3,5,1,5,4.0,50,2,3,3,0
4,472.0,1,2,0,3,2,3,4,1.0,15,2,2,3,0
4,91.0,1,5,0,1,5,2,10,5.0,15,2,2,7,0
4,84.0,1,3,0,0,5,0,2,2.0,35,1,7,7,0
4,456.0,1,4,4,1,3,2,6,3.0,6,1,6,0,0
4,270.0,1,1,0,1,0,0,2,1.0,0,2,4,11,0
4,31.0,1,1,4,3,5,0,3,1.0,15,2,6,11,1
4,34.0,1,1,0,1,6,0,2,0.0,15,2,2,11,2
1,179.0,1,0,4,0,5,2,5,5.0,7,2,6,11,2
1,192.0,1,5,4,3,0,4,4,0.0,3,2,7,11,2
4,440.0,1,5,0,3,6,4,4,0.0,5,2,2,10,1
4,80.0,1,4,4,1,6,0,4,4.0,40,1,7,10,1
4,125.0,1,1,1,3,2,0,0,0.0,25,1,2,10,1
4,356.0,1,5,0,1,5,1,3,2.0,20,2,2,9,0
0,227.0,0,5,0,3,5,0,10,2.0,30,2,2,9,0
4,167.0,1,5,7,3,0,3,2,0.0,0,2,6,2,0
4,209.0,1,3,0,0,2,0,5,0.0,30,1,2,2,0
4,188.0,1,3,0,0,6,0,2,0.0,15,2,7,2,0
4,272.0,1,5,0,3,5,3,4,5.0,70,2,2,4,0
1,145.0,1,4,4,3,2,1,2,4.0,2,1,6,4,0
0,227.0,0,1,0,1,5,3,3,2.0,15,2,2,4,0
4,339.0,1,5,0,0,2,0,2,0.0,80,2,8,4,0
4,286.0,0,0,4,2,8,0,6,3.0,9,2,6,4,1
4,291.0,1,4,7,3,3,3,4,1.0,15,2,6,10,0
4,507.0,0,3,0,3,5,3,2,1.0,50,0,6,10,1
4,0.0,0,4,0,3,1,0,2,4.0,50,2,7,9,0
4,0.0,0,4,0,2,5,4,2,4.0,30,2,8,9,0
4,0.0,0,5,4,1,1,0,2,3.0,30,2,2,2,0
4,48.0,1,2,0,0,6,3,2,4.0,50,2,6,2,0
4,121.0,1,1,0,3,3,0,0,1.0,140,2,6,2,0
4,108.0,1,1,4,1,5,2,2,1.0,45,2,6,2,0
4,139.0,1,5,4,3,8,0,4,7.0,160,2,7,8,0
4,91.0,1,1,7,3,2,3,2,0.0,15,2,2,6,0
4,178.0,1,3,0,1,5,1,2,0.0,5,2,7,6,0
4,183.0,1,5,0,0,5,0,2,0.0,2,1,3,6,0
4,228.0,0,4,4,0,2,3,4,0.0,0,2,1,10,1
4,422.0,0,4,4,3,5,3,4,4.0,60,1,7,2,0
4,95.0,0,0,0,0,5,4,5,5.0,50,2,6,4,1
4,154.0,1,4,5,3,4,0,2,0.0,30,1,7,3,0
4,253.0,1,4,5,3,5,0,3,0.0,50,2,2,3,0
4,162.0,1,4,1,0,5,0,5,1.0,1,2,7,7,0
4,58.0,1,1,0,0,4,0,0,0.0,25,2,6,7,0
4,55.0,1,5,0,2,5,2,6,11.0,20,1,7,8,0
4,170.0,1,5,0,0,5,0,2,2.0,30,1,2,2,0
4,74.0,1,4,5,3,3,2,4,0.0,8,2,6,11,0
4,221.0,1,4,0,0,5,0,4,5.0,0,2,2,11,2
4,40.0,1,2,2,3,8,3,5,2.0,60,1,6,7,1
4,97.0,1,5,4,3,5,1,10,1.0,170,2,4,7,0
4,121.0,1,0,4,1,2,2,0,1.0,190,2,6,0,0
4,27.0,1,5,0,1,8,3,10,0.0,15,2,6,2,0
4,74.0,1,5,0,1,8,0,2,1.0,10,2,6,4,0
1,68.0,1,3,0,1,3,0,10,0.0,8,1,2,0,0
4,10.0,1,4,4,0,5,0,2,0.0,10,2,2,4,0
4,86.0,1,3,0,1,5,0,2,0.0,50,2,3,3,0
4,78.0,1,4,0,3,2,0,4,3.0,70,2,2,3,0
4,129.0,1,5,4,0,4,0,2,1.0,10,1,2,3,0
4,193.0,1,4,0,2,2,0,2,2.0,10,2,2,7,0
4,85.0,1,3,0,1,6,0,4,1.0,25,2,2,7,0
4,489.0,1,4,4,1,3,0,2,2.0,40,2,2,0,0
4,77.0,1,2,4,3,5,0,4,2.0,10,2,6,0,0
4,125.0,1,5,0,1,8,0,2,0.0,30,2,6,0,0
4,65.0,1,4,0,3,5,1,1,0.0,10,2,7,0,0
4,465.0,0,4,4,3,2,3,6,0.0,50,2,7,0,1
4,61.0,1,3,4,0,2,1,3,1.0,50,2,7,0,1
4,548.0,1,2,0,3,1,0,2,6.0,15,2,6,0,1
4,362.0,1,1,0,3,3,0,2,1.0,60,2,7,6,0
4,464.0,0,4,4,0,6,0,2,1.0,3,2,7,6,0
4,0.0,0,4,0,1,9,3,4,2.0,30,2,2,1,0
4,159.0,1,1,0,2,5,0,5,1.0,8,2,6,1,0
4,114.0,1,4,4,3,6,0,2,1.0,4,2,7,1,0
4,185.0,1,4,4,3,6,3,4,0.0,100,2,7,11,0
4,61.0,1,4,0,1,5,3,4,1.0,150,2,6,4,1
4,191.0,1,1,7,2,7,1,2,5.0,10,1,2,4,1
0,242.0,1,3,7,1,5,0,5,1.0,25,2,2,11,1
4,68.0,1,4,0,3,5,3,4,4.0,7,2,6,3,0
0,56.0,1,1,0,3,8,1,8,0.0,15,2,7,3,0
1,224.0,1,3,0,4,5,0,4,0.0,30,2,7,3,1
4,167.0,1,5,5,0,8,1,4,1.0,2,0,7,6,1
4,45.0,1,1,5,0,2,3,0,0.0,90,2,6,4,0
4,34.0,1,1,5,1,8,0,2,4.0,40,1,7,4,1
4,75.0,1,4,0,3,5,0,8,0.0,20,1,2,3,0
4,110.0,1,2,0,3,5,1,2,3.0,15,2,7,4,0
4,201.0,1,4,1,0,2,1,10,0.0,25,2,7,0,0
4,419.0,1,5,4,3,2,1,3,0.0,15,2,7,0,0
4,395.0,1,4,5,0,5,0,5,1.0,30,2,7,0,1
4,254.0,1,3,4,3,2,1,2,1.0,3,2,7,0,1
4,61.0,1,4,0,3,8,0,9,4.0,80,2,4,0,1
4,94.0,1,3,4,1,5,0,2,5.0,10,2,6,8,0
4,93.0,1,5,4,2,9,0,2,2.0,7,2,7,6,0
4,124.0,1,5,0,2,5,1,4,4.0,110,2,7,6,0
3,61.0,1,2,0,0,8,0,4,0.0,25,1,6,6,0
4,236.0,1,2,4,2,5,2,4,1.0,30,2,7,1,0
4,234.0,1,4,0,0,5,3,4,0.0,40,2,2,11,0
4,307.0,1,1,0,0,2,4,4,0.0,10,2,6,11,1
4,213.0,0,2,4,3,5,0,3,0.0,50,2,0,10,0
1,37.0,1,3,1,2,5,1,4,3.0,10,2,0,3,0
4,254.0,0,1,0,3,3,3,8,0.0,10,2,7,10,1
4,52.0,1,4,4,4,5,1,3,0.0,30,2,6,4,0
0,128.0,0,4,4,2,5,3,8,2.0,10,1,3,7,0
4,240.0,0,3,0,0,5,2,2,1.0,90,0,6,9,0
4,130.0,1,5,4,1,8,3,2,0.0,15,2,6,2,0
3,142.0,0,2,5,0,6,0,2,2.0,30,1,2,3,1
4,310.0,0,2,5,0,5,1,4,0.0,25,2,2,11,0
0,184.0,0,3,0,3,2,3,4,0.0,5,2,2,4,0
4,58.0,1,1,0,0,1,0,2,11.0,10,2,8,4,0
1,142.0,0,4,4,1,2,3,2,5.0,80,2,2,3,1
4,107.0,1,1,0,1,5,3,2,4.0,15,2,2,2,0
4,101.0,1,4,5,3,5,1,5,2.0,70,2,4,2,0
4,240.0,0,5,4,1,1,4,2,6.0,90,0,2,9,0
4,219.0,0,4,0,3,5,0,5,5.0,9,0,0,2,0
3,254.0,0,0,2,1,8,4,2,2.0,20,2,2,10,1
4,79.0,1,4,0,0,8,0,10,0.0,0,2,3,1,0
4,20.0,0,5,7,0,5,2,2,1.0,35,1,2,6,1
4,4.0,0,3,0,3,5,1,6,1.0,15,0,3,6,0
4,0.0,0,5,4,2,5,2,2,1.0,15,0,2,3,0
1,17.0,0,5,4,0,2,1,2,1.0,15,2,2,6,1
1,208.0,0,1,1,1,5,0,2,1.0,100,2,2,4,0
3,0.0,0,4,4,1,2,3,4,1.0,60,2,7,4,1
4,7.0,0,4,4,1,2,2,3,0.0,9,0,7,1,0
4,109.0,1,4,4,3,5,0,3,2.0,150,1,2,1,0
4,94.0,1,5,0,3,3,0,10,6.0,3,2,2,7,0
4,72.0,1,2,0,1,5,0,2,6.0,8,1,6,3,0
4,331.0,0,5,0,1,8,0,4,1.0,9,2,1,1,0
3,296.0,0,5,0,3,2,2,2,6.0,7,1,2,11,1
4,282.0,0,4,4,3,5,3,5,2.0,20,0,7,11,2
4,254.0,0,2,0,1,4,0,1,1.0,35,2,7,10,1
1,254.0,0,2,4,3,8,4,5,1.0,0,1,7,10,1
4,152.0,1,2,0,3,5,3,0,4.0,3,1,2,10,1
4,75.0,1,5,0,0,5,0,10,1.0,7,2,7,6,0
4,80.0,0,2,0,1,5,3,2,1.0,90,2,2,6,0
4,125.0,1,3,0,1,3,3,2,1.0,25,1,6,6,0
4,20.0,0,2,4,3,5,2,9,5.0,10,1,2,6,1
4,186.0,1,4,0,1,5,0,2,0.0,25,2,2,8,0
3,135.0,0,0,0,3,5,0,2,1.0,35,2,4,6,1
4,17.0,0,4,4,0,1,0,2,0.0,10,2,7,6,1
4,195.0,1,1,0,0,1,3,4,0.0,0,2,3,9,0
1,266.0,1,5,4,3,5,0,10,2.0,60,1,2,1,0
4,156.0,1,4,0,2,0,3,2,0.0,40,2,6,0,0
1,72.0,0,5,0,1,8,2,2,1.0,15,2,7,0,0
4,19.0,0,4,4,0,8,4,3,1.0,10,2,6,0,1
1,72.0,0,4,2,1,3,3,2,1.0,70,1,2,0,1
4,17.0,0,5,7,3,3,3,4,6.0,100,1,7,0,1
4,13.0,0,0,4,1,7,4,3,0.0,20,2,2,8,0
4,13.0,0,5,4,3,1,0,4,4.0,6,2,6,8,0
4,13.0,0,5,4,4,5,0,4,6.0,70,0,2,8,1
1,235.0,1,4,4,1,5,0,4,1.0,90,2,3,4,1
1,331.0,1,4,4,3,5,0,2,1.0,40,1,6,10,1
0,0.0,0,4,0,1,5,0,5,0.0,4,2,7,7,0
4,84.0,1,2,1,3,4,3,2,1.0,35,2,2,7,0
0,502.0,0,1,0,1,6,1,8,0.0,30,2,6,11,1
1,0.0,0,4,4,1,5,3,10,4.0,45,2,8,8,0
4,153.0,1,5,1,3,0,0,4,7.0,30,1,2,0,1
4,73.0,1,4,0,0,1,2,2,1.0,2,2,3,11,1
3,16.0,1,3,0,0,2,1,2,10.0,80,2,6,10,0
4,174.0,1,1,4,1,2,0,2,1.0,20,2,3,10,1
4,184.0,0,4,0,4,2,0,2,7.0,15,0,6,4,0
3,19.0,1,5,0,3,4,0,8,0.0,15,1,6,4,0
1,170.0,0,1,0,0,8,3,5,1.0,60,2,2,4,1
4,156.0,0,3,4,4,5,4,10,1.0,50,1,2,3,0
4,40.0,0,3,4,3,4,1,2,2.0,70,2,2,0,0
4,523.0,0,1,7,2,5,2,5,5.0,5,2,3,8,0
4,365.0,0,3,0,1,6,3,2,1.0,8,2,2,6,0
3,331.0,0,3,4,0,5,0,4,0.0,20,0,2,1,0
4,228.0,0,2,0,3,5,1,5,4.0,40,2,6,11,0
4,282.0,0,4,0,3,5,0,10,1.0,15,0,6,11,2
4,282.0,0,5,4,3,5,1,2,0.0,60,2,2,11,2
4,74.0,1,1,5,2,3,3,2,2.0,2,2,2,1,0
4,51.0,1,5,0,0,6,0,2,0.0,110,2,6,6,1
0,221.0,1,1,4,0,5,1,4,2.0,7,2,2,10,1
4,138.0,1,5,4,0,5,3,2,0.0,1,2,3,4,0
4,60.0,1,2,4,1,5,1,2,5.0,170,2,4,3,1
4,130.0,1,2,1,4,2,1,2,4.0,2,1,2,9,0
4,92.0,1,4,4,3,1,0,2,0.0,1,2,6,8,0
4,110.0,1,1,0,0,3,1,0,4.0,35,2,7,4,0
4,90.0,1,2,4,0,2,2,6,1.0,50,2,6,3,1
1,149.0,0,4,0,2,5,4,2,0.0,35,1,6,6,0
1,219.0,1,5,4,0,5,1,10,1.0,4,1,6,7,0
0,129.0,1,2,0,4,6,0,6,1.0,15,2,7,7,0
0,177.0,1,2,3,3,5,0,4,5.0,70,2,2,0,0
4,167.0,1,1,0,3,0,3,0,0.0,5,1,2,2,0
3,250.0,0,1,0,3,1,3,5,2.0,25,0,1,6,0
4,103.0,1,5,4,3,3,1,4,0.0,15,2,7,11,0
4,63.0,1,4,0,0,5,1,5,1.0,70,2,2,3,0
4,110.0,1,5,4,0,6,0,2,0.0,9,2,6,1,0
3,45.0,1,4,4,1,6,3,8,7.0,25,2,6,11,0
4,72.0,1,3,0,1,2,3,4,3.0,45,2,6,11,0
4,103.0,1,5,0,3,8,3,5,1.0,10,2,6,11,2
4,83.0,1,4,3,3,8,0,2,4.0,25,2,2,11,2
4,35.0,1,3,0,3,5,0,2,2.0,80,2,7,10,0
4,52.0,1,3,5,3,3,1,2,0.0,110,1,2,10,0
4,72.0,1,1,4,3,2,2,3,1.0,35,2,7,2,0
3,13.0,0,3,0,4,8,0,2,1.0,60,1,3,8,1
4,19.0,0,5,4,0,6,2,2,1.0,160,1,7,6,1
4,93.0,1,1,0,3,6,0,4,2.0,15,2,7,4,0
1,313.0,1,0,1,2,1,3,4,1.0,25,1,2,1,0
4,0.0,0,0,4,0,6,3,2,1.0,9,2,2,4,0
4,319.0,1,2,4,0,4,3,2,1.0,8,2,7,2,0
0,185.0,0,3,1,3,2,0,2,4.0,15,1,7,9,0
4,97.0,1,5,4,0,5,1,2,0.0,8,2,7,0,0
4,64.0,1,4,4,1,1,1,2,1.0,180,2,6,11,2
4,332.0,1,1,4,3,2,0,2,6.0,170,2,8,4,0
4,177.0,1,2,0,0,8,3,2,3.0,15,2,6,10,0
4,0.0,0,5,0,0,5,0,4,3.0,25,2,2,10,1
4,109.0,1,0,0,0,2,1,2,2.0,10,2,2,2,0
4,184.0,0,4,4,0,6,4,2,1.0,15,0,3,4,0
4,282.0,0,4,4,0,1,3,4,1.0,130,2,7,11,2
4,282.0,0,4,0,2,4,1,4,0.0,30,2,0,11,2
4,268.0,0,4,4,0,3,3,2,1.0,7,0,6,10,0
4,191.0,0,0,0,3,5,1,2,0.0,30,2,6,10,0
0,268.0,0,4,4,1,5,0,4,1.0,20,1,6,10,0
4,268.0,0,4,0,3,2,3,4,0.0,3,2,2,10,0
4,268.0,0,4,4,4,8,0,2,4.0,25,2,7,10,0
4,268.0,0,3,5,0,5,1,4,5.0,0,2,6,10,0
4,70.0,1,4,4,1,5,0,2,2.0,35,1,7,10,0
4,254.0,0,1,0,3,5,0,2,1.0,30,0,0,10,1
4,254.0,0,5,0,2,3,3,4,6.0,45,1,7,10,1
1,240.0,0,0,4,2,9,3,3,4.0,7,0,3,9,0
4,59.0,1,5,0,2,5,0,3,3.0,80,2,7,3,0
1,45.0,1,4,4,0,3,0,2,0.0,20,1,7,6,0
3,342.0,1,4,0,0,4,1,2,0.0,20,2,7,10,1
4,0.0,0,5,4,3,3,0,5,0.0,15,2,2,4,0
3,110.0,1,1,1,3,8,0,2,1.0,15,1,2,8,1
1,263.0,1,1,0,1,5,3,2,0.0,160,1,2,3,0
4,142.0,0,0,4,3,5,0,0,6.0,70,0,6,2,0
4,164.0,0,5,0,0,2,0,4,4.0,25,1,2,2,0
3,342.0,1,5,4,3,5,3,2,1.0,45,1,7,4,0
4,79.0,1,1,1,3,5,3,2,0.0,40,1,6,4,1
1,0.0,0,5,4,3,5,0,4,4.0,15,2,3,3,0
0,354.0,0,4,0,2,2,3,4,0.0,180,2,2,10,1
4,370.0,1,1,7,1,5,1,4,2.0,45,2,0,2,0
4,160.0,1,5,0,3,1,3,4,5.0,50,1,8,9,0
4,180.0,1,2,0,3,6,1,0,1.0,5,2,6,10,1
4,47.0,1,4,0,0,6,0,5,0.0,60,1,7,10,0
4,32.0,1,5,0,3,6,2,4,0.0,70,2,6,1,0
0,30.0,1,3,2,3,4,3,5,7.0,1,2,4,4,0
1,293.0,0,5,4,3,6,2,2,7.0,25,2,2,4,1
1,101.0,0,5,5,1,5,2,5,6.0,1,1,7,0,0
4,270.0,1,4,4,1,2,2,9,1.0,15,2,6,2,0
4,59.0,1,0,0,3,2,1,2,1.0,0,2,6,11,1
4,136.0,1,1,0,0,5,0,4,0.0,25,2,2,5,0
4,103.0,0,2,0,3,5,4,2,3.0,30,2,2,1,2
4,16.0,0,4,0,1,5,0,4,1.0,120,0,2,5,0
4,53.0,1,2,0,0,2,1,8,1.0,35,2,0,6,1
4,240.0,0,1,4,0,9,0,2,0.0,15,0,7,9,0
4,190.0,1,5,4,0,4,0,2,7.0,130,2,2,9,0
4,149.0,0,3,7,1,6,3,2,5.0,35,2,2,9,0
4,37.0,0,5,0,3,5,3,6,0.0,3,2,2,2,0
4,219.0,0,5,0,3,5,1,3,2.0,2,2,6,2,0
4,219.0,0,5,0,3,3,0,2,0.0,9,0,7,2,0
0,184.0,0,4,1,0,4,0,2,0.0,170,2,2,4,0
4,62.0,1,4,0,3,5,1,2,1.0,140,2,8,6,1
3,170.0,0,2,0,3,6,1,5,1.0,60,2,6,8,1
4,177.0,0,0,5,4,5,0,2,1.0,7,2,3,5,0
4,38.0,1,5,0,2,1,1,4,1.0,15,2,7,6,0
4,139.0,1,4,0,4,5,0,2,1.0,50,0,6,6,1
1,151.0,0,1,0,0,4,3,2,10.0,10,1,6,6,0
4,64.0,1,5,0,0,5,1,2,1.0,7,2,6,5,1
4,184.0,0,5,0,3,9,1,8,1.0,30,2,6,4,0
3,184.0,0,5,4,3,4,0,5,3.0,20,2,2,4,0
4,184.0,0,1,4,3,7,3,2,1.0,30,0,2,4,0
4,184.0,0,0,4,1,5,0,2,0.0,4,0,2,4,0
3,184.0,0,3,1,3,2,1,4,1.0,20,2,2,4,0
3,170.0,0,5,4,1,6,3,2,1.0,80,2,2,4,1
3,170.0,0,0,0,1,4,3,2,1.0,30,2,7,4,1
0,170.0,0,1,0,0,5,4,5,2.0,10,2,2,4,1
3,170.0,0,4,0,0,5,2,10,3.0,1,2,2,4,1
4,170.0,0,4,2,0,6,2,4,0.0,110,2,7,4,1
4,16.0,0,3,0,3,1,0,2,0.0,10,0,2,5,0
4,153.0,1,4,0,3,5,0,4,10.0,30,1,6,5,0
4,62.0,1,1,0,2,5,0,4,8.0,15,2,6,5,0
4,20.0,0,2,4,3,2,1,2,0.0,50,1,7,6,1
4,16.0,0,4,2,2,8,3,5,1.0,45,2,8,5,0
4,17.0,0,2,4,1,5,1,0,1.0,30,2,2,6,1
4,534.0,0,1,0,4,5,0,8,2.0,20,2,1,4,0
4,534.0,0,1,4,0,4,1,2,1.0,4,0,2,4,0
4,43.0,1,0,0,0,2,1,4,0.0,80,1,2,3,0
4,30.0,1,2,4,0,6,0,3,2.0,70,2,7,3,0
4,91.0,1,1,0,1,8,1,2,0.0,60,2,4,7,0
4,187.0,1,1,4,2,5,0,2,0.0,15,2,7,8,0
4,51.0,1,5,0,0,5,0,5,0.0,1,2,2,4,1
3,170.0,0,1,1,3,8,1,8,2.0,180,0,2,4,1
4,142.0,0,5,4,1,9,1,4,0.0,15,2,7,3,1
4,142.0,0,1,0,0,5,3,2,1.0,15,2,6,3,1
4,11.0,0,4,4,4,9,0,2,1.0,70,2,3,3,1
4,128.0,0,4,4,0,6,3,2,0.0,3,1,7,7,0
4,19.0,0,4,4,3,6,0,7,0.0,4,0,2,7,1
4,18.0,0,2,4,1,5,2,1,1.0,30,2,7,7,1
0,16.0,0,3,4,1,5,0,4,0.0,4,2,2,0,0
4,16.0,0,5,5,3,0,0,4,2.0,70,2,7,0,0
4,158.0,1,1,0,0,8,3,2,0.0,15,2,6,0,0
3,13.0,0,4,0,2,3,0,2,2.0,80,2,1,0,1
4,65.0,1,4,3,3,5,3,4,1.0,20,1,2,6,1
4,65.0,1,4,0,0,5,3,3,6.0,140,2,2,8,0
4,365.0,0,4,4,1,5,0,2,3.0,4,2,7,6,0
4,0.0,0,4,0,3,5,2,2,4.0,10,2,7,6,0
1,254.0,0,4,0,1,6,1,5,1.0,120,2,7,10,1
0,184.0,0,4,4,3,6,2,2,2.0,60,1,7,4,0
1,360.0,0,1,0,0,9,1,4,1.0,6,1,6,4,0
4,184.0,0,0,4,3,5,0,8,5.0,15,2,2,4,0
